SERIAL_CODE,EMS_ID,STATION_NAME,LOCATION,CITY,CATEGORY,STATION_ENVIRONMENT,STATION_OWNER,DATE_ESTABLISHED,NOTES,LATITUDE,LONGITUDE,HEIGHT(m),STATUS,URL,URL2,PM25_INSTRUMENT,PM25,PM25_UNIT,NO,NO_UNIT,NO2,NO2_UNIT,NOX,NOX_UNIT,O3,O3_UNIT,PM10,PM10_UNIT,SO2,SO2_UNIT,TRS,TRS_UNIT,H2S,H2S_UNIT,WDIR_VEC,WDIR_UNIT,WSPD_SCLR,WSPD_UNIT,TEMP,TEMP_UNIT,HUMIDITY,HUMIDITY_UNIT,PRECIPITATION,PRECIPITATION_UNIT,BAR_PRESSURE,PRESSURE_UNIT,SNOWDEPTH,SNOWDEPTH_UNIT,CO,CO_UNIT,PM25_24,NO_24,NO2_24,NOX_24,O3_8,PM10_24,SO2_24,TRS_24,H2S_24,DATE,DATE_PST,URL_Station
571,E317850,Kelowna KLO Road,"",Kelowna,OPERATIONAL,"",ENV,"","",49.862119,-119.467461,350,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=571,,PM25 SHARP5030,1.9,ug/m3,0.7,ppb,2,ppb,"","",15.8,ppb,11.8,ug/m3,0.1,ppb,"","","","",169.6,Deg.,1.1,m/s,6.6,Deg.C,79.6,% RH,"","","","","","",0.174,ppm,9.3,2.8,5.2,"",7.1,8.1,0.2,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=571
271,E282711,Kitimat Haisla Village,"",Kitimat,OPERATIONAL,"",INDUSTRY,"","",53.973228,-128.650768,5,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=271,,BAM1020,4,ug/m3,0.6,ppb,0.9,ppb,"","",6.6,ppb,"","",0.3,ppb,"","","","",130,Deg.,0.78,m/s,5.2,Deg.C,"","","","","","","","","","",4.3,0.3,0.6,"",9,"",0.3,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=271
73,E223616,Kitimat Haul Road,"",Kitimat,OPERATIONAL,"",INDUSTRY,"","",54.029194,-128.70269,11,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=73,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=75,BAM1020,0,ug/m3,"","","","","","","","","","",0.4,ppb,"","","","",242.4,Deg.,0.56,m/s,4.4,Deg.C,"","","","","","","","","","",2.5,"","","","","",0.1,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=73
576,E320051,Kitimat Industrial Ave,"",Kitimat,OPERATIONAL,"",INDUSTRY,"","",54.061,-128.688,21,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=576,,"","","","","","","","","","","","","",0.9,ppb,"","","","",184.1,Deg.,0.5,m/s,3.7,Deg.C,94.7,% RH,"","","","","","","","","","","","","","",0.7,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=576
77,E216670,Kitimat Riverlodge,"",Kitimat,OPERATIONAL,"",INDUSTRY,"","",54.05389,-128.671436,18,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=77,,BAM1020,4,ug/m3,1.5,ppb,1.9,ppb,"","",5.7,ppb,7,ug/m3,0.1,ppb,"","","","",353,Deg.,0.53,m/s,14.6,Deg.C,"","","","","","","","","","",4.3,0.7,1.4,"",7.2,5.5,0.1,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=77
78,E223615,Kitimat Whitesail,"",Kitimat,OPERATIONAL,"",INDUSTRY,"","",54.066909,-128.639131,94,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=78,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=80,BAM1020,2,ug/m3,0.5,ppb,1.1,ppb,"","",8.5,ppb,"","",0.1,ppb,"","","","",13.6,Deg.,0.53,m/s,4.7,Deg.C,95.9,% RH,"","","","","","","","",3.1,0.6,1.1,"",8.8,"",0.2,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=78
418,E286269,Kitimat Yacht Club,"",Kitimat,OPERATIONAL,"",INDUSTRY,"","",54,-128.692,2,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=418,,"","","","","","","","","","","","","","","","","","","",222.4,Deg.,0.59,m/s,5.2,Deg.C,"","","","","","","","","","","","","","","","","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=418
86,E222778,Langdale Elementary,"",Langdale,OPERATIONAL,"",INDUSTRY,"","",49.438848,-123.479185,90,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=86,,PM25_T640,1.7,ug/m3,0.4,ppb,3.4,ppb,"","","","",3.3,ug/m3,0.3,ppb,1,ppb,"","","","","","","","","","","","","","","","","","",3.7,0.3,3.6,"","",7.5,0.6,2.2,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=86
256,E209178,Langley Central,"",Langley,METRO VANCOUVER,"",MVRD,"","",49.0956,-122.5671,88,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=256,,PM25 SHARP5030,2.7,ug/m3,0.2,ppb,2.5,ppb,"","",29.9,ppb,4.5,ug/m3,0,ppb,"","","","",174.5,Deg.,3.18,m/s,9.8,Deg.C,95.3,% RH,"","","","","","","",ppm,2.2,0.3,3.3,"",24.3,4.3,0,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=256
258,E232245,Maple Ridge Golden Ears School,"",Maple Ridge,METRO VANCOUVER,"",MVRD,"","",49.2149,-122.5821,50,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=258,,"","","",0.6,ppb,5,ppb,"","",20.6,ppb,"","","","","","","","",92.8,Deg.,4.57,km/h,9.3,Deg.C,"","","","","","","","",0.18,ppm,"",1,5.6,"",24.3,"","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=258
94,E264682,Merritt Parcel Street,"",Merritt,OPERATIONAL,"",ENV,"","",50.105,-120.7921,603,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=94,,"","","","","","","","","","","","","","","","","","","",126.9,Deg.,0.56,m/s,3,Deg.C,99.5,% RH,"","","","","","","","","","","","","","","","","",Sunday 1 February 2026 12PM (PST),2026-02-01 12:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=94
474,E302130,Mission School Works Yard,"",Mission,METRO VANCOUVER,"",MVRD,"","",49.1415,-122.3111,74,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=474,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=476,PM25 SHARP5030,3.2,ug/m3,0.6,ppb,6.1,ppb,"","",22.5,ppb,"","","","","","","","",204.8,Deg.,0.3,m/s,8.7,Deg.C,94.9,% RH,"","","","","","","","",1.9,0.3,3.6,"",21.1,"","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=474
10,E229797,Nanaimo Labieux Road,"",Nanaimo,OPERATIONAL,"",ENV,"","",49.20083,-123.99389,121,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=10,,PM25_SHARP5030i,8.3,ug/m3,1.3,ppb,7.8,ppb,"","",20.6,ppb,"","","","","","","","","","","","","","","","","","","","","","","","",5.2,0.4,5.4,"",18.9,"","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=10
530,E308566,New Westminster Sapperton Park,"",New Westminster,METRO VANCOUVER,"",MVRD,"","",49.22701,-122.8945,45,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=530,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=531,PM25 SHARP5030,3.4,ug/m3,2,ppb,15.4,ppb,"","",12.9,ppb,"","","","","","","","",186,Deg.,0.7,m/s,"","","","","","","","","","","","",2.6,1.7,12,"",14.8,"","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=530
252,E244516,North Burnaby Capitol Hill,"",Burnaby,METRO VANCOUVER,"",MVRD,"","",49.2879,-122.9856,200,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=252,,"","","","","","","","","","","","","",0.1,ppb,0.4,ppb,"","",89.3,Deg.,1.21,m/s,6.7,Deg.C,"","","","","","","","","","","","","","","","",0.1,0.5,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=252
246,E207723,North Delta,"",Delta,METRO VANCOUVER,"",MVRD,"","",49.1583,-122.9017,113,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=246,,PM25_SHARP5030i,2.9,ug/m3,3.6,ppb,5.8,ppb,"","",22.5,ppb,"","","","","","","","",141.4,Deg.,2.59,m/s,9.3,Deg.C,"","","","","","","","","","",2.7,4,7.7,"",18.5,"","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=246
255,E209177,North Vancouver Mahon Park,"",North Vancouver,METRO VANCOUVER,"",MVRD,"","",49.324,-123.0835,71,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=255,,PM25 SHARP5030,2.4,ug/m3,0.8,ppb,7.5,ppb,"","",22.2,ppb,"","",0.3,ppb,"","","","",96.1,Deg.,7.89,km/h,9.1,Deg.C,"","","","","","","","",0.22,ppm,1.9,1.3,7.4,"",24.6,"",0.2,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=255
243,0310179,North Vancouver Second Narrows,"",North Vancouver,METRO VANCOUVER,"",MVRD,"","",49.3015,-123.0204,4,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=243,,PM25_SHARP5030i,1.8,ug/m3,1.7,ppb,6.5,ppb,"","",25.4,ppb,"","",0.9,ppb,"","","","",88.3,Deg.,1.86,m/s,"","","","","","","","","","","","",2.1,2.2,7,"",23.1,"",1.1,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=243
485,E304453,Peace Valley Attachie Flat Upper Terrace,"",Fort St John,BC HYDRO,"",INDUSTRY-BCH,"","",56.231213,-121.41944,480,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=485,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=540,PM25 SHARP5030,8.1,ug/m3,"","","","","","","","",6.3,ug/m3,"","","","","","","","",2.7,m/s,-3.8,Deg.C,98.1,% RH,"","","",mb,"","","","",7.3,"","","","",6.1,"","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=485
599,599,Penticton Debeck Road,"",Penticton,OPERATIONAL,"",ENV,"","",49.4914,-119.5715,397,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=599,,PM25_SHARP5030i,2.9,ug/m3,0.6,ppb,1.6,ppb,"","",20,ppb,4.5,ug/m3,"","","","","","",174.4,Deg.,4.3,m/s,5.7,Deg.C,81.6,% RH,"","","","","","","","",5,0.2,2.4,"",19.3,5.7,"","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=599
501,E232244,Pitt Meadows Meadowlands School,"",Pitt Meadows,METRO VANCOUVER,"",MVRD,"","",49.2452,-122.7089,4,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=501,,PM25 SHARP5030,0.3,ug/m3,0,ppb,0.9,ppb,"","",30.1,ppb,"","",0.2,ppb,"","","","",39.5,Deg.,1.8,m/s,8.1,Deg.C,99.8,% RH,"","","","","","","","",1.2,0,1.4,"",30.7,"",0.2,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=501
263,E273483,Port Alberni Elementary,"",Port Alberni,OPERATIONAL,"",INDUSTRY,"","",49.261014,-124.806628,21,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=263,,BAM1020,4,ug/m3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5.2,"","","","","","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=263
589,E327924,Port Edward Sunset Drive,"",Port Edward,OPERATIONAL,"",INDUSTRY-PRPA,"","",54.2231999,-130.29045,39,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=589,,PM25_SHARP5030i,0.6,ug/m3,0,ppb,0.3,ppb,"","","","",0.8,ug/m3,"","","","","","",110.9,Deg.,1.9,m/s,8.2,Deg.C,89.5,% RH,"","","","","","","","",0.8,0,0.4,"","",0.9,"","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=589
117,E226338,Port Mellon,"",Gibsons,OPERATIONAL,"",INDUSTRY,"","",49.5228,-123.4822,3,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=117,,"","","","","","","","","","","","","","","","","","","",38.4,Deg.,0.97,m/s,8.5,Deg.C,"","","","","","","","","","","","","","","","","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=117
244,0310162,Port Moody Rocky Point Park,"",Port Moody,METRO VANCOUVER,"",MVRD,"","",49.2809,-122.8493,6,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=244,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=475,PM25 SHARP5030,2.6,ug/m3,1.9,ppb,9.6,ppb,"","",18,ppb,4.9,ug/m3,0.2,ppb,0.5,ppb,"","",341.9,Deg.,1.4,m/s,8.7,Deg.C,97.2,% RH,"","","","","","",0.27,ppm,3,3.7,12.8,"",21.2,5.4,0.2,1.7,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=244
528,E293670,Prince George Exploration Place,"",Prince George,OPERATIONAL,"",INDUSTRY,"","",53.905139,-122.734049,576,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=528,,"","","","","","","","","","","","","","","","",ppb,"","",177.8,Deg.,0.7,m/s,"","","","","","","","","","","","","","","","","","","","","",Sunday 1 February 2026 01PM (PST),2026-02-01 13:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=528
138,E224014,Prince George Glenview School,"",Prince George,OPERATIONAL,"",ENV,"","",53.996,-122.776,750,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=138,,"","","","","","","","","","","","","","","","","","","",227.2,Deg.,1.83,m/s,3.5,Deg.C,100.1,% RH,"","","","","","","","","","","","","","","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=138
139,0450322,Prince George Jail,"",Prince George,OPERATIONAL,"",INDUSTRY,"","",53.908018,-122.713337,616,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=139,,"","","","","","","","","","","","","","",ppb,"",ppb,"","","","","","","","","","","","","","","","","","","","","","","","","","","",Sunday 1 February 2026 01PM (PST),2026-02-01 13:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=139
140,0450324,Prince George Lakewood,"",Prince George,OPERATIONAL,"",INDUSTRY,"","",53.9156,-122.7958,584,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=140,,"","","","","","","","","","","","","","","","",ppb,"","","","","","","","","","","","","","","","","","","","","","","","","","","",Sunday 1 February 2026 01PM (PST),2026-02-01 13:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=140
13,0450307,Prince George Plaza 400,"",Prince George,OPERATIONAL,"",ENV,"","",53.91472,-122.74194,588,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=13,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=144,PM25 SHARP5030,2.7,ug/m3,3.6,ppb,11.3,ppb,"","",8.2,ppb,1.7,ug/m3,1.5,ppb,0.4,ppb,"","",221.3,Deg.,1.93,m/s,5.6,Deg.C,89.7,% RH,"","","","","","","","",7.7,16,12.3,"",2,8.5,1.2,4.5,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=13
146,M109914,Prince George Pulp,"",Prince George,OPERATIONAL,"",ENV,"","",53.9244,-122.6861,600,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=146,,"","","","","","","","","","","","","","","","","","","",223.8,Deg.,2.43,m/s,5.4,Deg.C,99.9,% RH,"","","","","","","","","","","","","","","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=146
425,E288469,Prince Rupert Roosevelt Park School,"",Prince Rupert,OPERATIONAL,"",ENV,"","",54.3064,-130.3269,80,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=425,,"","","","","","","","","","","","","","","","","","","",117.4,Deg.,3.41,m/s,8.3,Deg.C,81.8,% RH,"","","","","","","","","","","","","","","","","",Sunday 1 February 2026 03PM (PST),2026-02-01 15:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=425
583,E326405,Quesnel Johnston Avenue,"",Quesnel,OPERATIONAL,"",ENV,"","",52.969061,-122.494031,505,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=583,,PM25_SHARP5030i,4.8,ug/m3,5.5,ppb,3.1,ppb,"","",4.9,ppb,7.3,ug/m3,1.2,ppb,0.6,ppb,"","",208.5,Deg.,0.7,m/s,3.4,Deg.C,"",% RH,"","","","","","","","",7.2,10.1,5.5,"",3.8,7.8,1.2,0.4,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=583
248,E207417,Richmond South,"",Richmond,METRO VANCOUVER,"",MVRD,"","",49.1414,-123.1082,4,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=248,,PM25 SHARP5030,3.6,ug/m3,1,ppb,4.5,ppb,"","",21.9,ppb,"","",0.2,ppb,"","","","",131.2,Deg.,2.59,m/s,9.9,Deg.C,"","","","","","","","",0.17,ppm,6,7.1,14.5,"",16.1,"",0.2,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=248
163,E207879,Robson,"",Robson,OPERATIONAL,"",INDUSTRY,"","",49.337031,-117.698275,441,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=163,,"","","","","","","","","","","","","","","",1.1,ppb,"","","","","","","","","","","","","","","","","","","","","","","","","",1,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=163
167,0440403,Scotties Marina,"",Castlegar,OPERATIONAL,"",INDUSTRY,"","",49.3427,-117.8297,502,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=167,,"","","","","","","","","","","","","","","",0,ppb,"","","","","","","","","","","","","","","","","","","","","","","","","",0,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=167
422,E254190,Skookumchuck Farstad Way,"",Cranbrook,OPERATIONAL,"",INDUSTRY,"","",49.905404,-115.755613,746,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=422,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=543,PM25_SHARP5030iQ,"",ug/m3,"","","","","","","","","","","","",1.2,ppb,"","",52,Deg.,1.2,m/s,4.3,Deg.C,81.5,% RH,"","","","","","","","","","","","","","","",8.5,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=422
560,E315110,Smithers Muheim Memorial,"",Smithers,OPERATIONAL,"",ENV,"","",54.7784861,-127.168542,496,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=560,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=563,PM25_SHARP5030i,8.3,ug/m3,1.4,ppb,4,ppb,"","",6,ppb,7.7,ug/m3,"","","","","","",150.8,Deg.,1.2,m/s,3.8,Deg.C,90.8,% RH,"","","","","","","","",11.8,6,6.4,"",3.5,13.1,"","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=560
584,E262137,Sparwood Centennial Square,"",Sparwood,OPERATIONAL,"",INDUSTRY,"","",49.7327857,-114.88766,1138,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=584,,PM25_SHARP5030i,1.1,ug/m3,0.4,ppb,2.7,ppb,"","",34.6,ppb,10,ug/m3,"","","","","","","","","","","","","","","","","","","","","","",1.3,1.1,4.8,"",29.5,5.2,"","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=584
247,E206271,Surrey East,"",Surrey,METRO VANCOUVER,"",MVRD,"","",49.1333,-122.6956,85,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=247,,PM25 SHARP5030,2.6,ug/m3,0.5,ppb,4,ppb,"","",24.9,ppb,"","","","","","","","",167.3,Deg.,2.41,m/s,9.9,Deg.C,"","","","","","","","",0.18,ppm,2.6,0.4,5.6,"",20.2,"","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=247
179,0770708,Taylor Townsite,"",Taylor,OPERATIONAL,"",INDUSTRY,"","",56.150186,-120.686985,474,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=179,,"","","",0.9,ppb,3.9,ppb,"","",21.2,ppb,"","",1.3,ppb,0.5,ppb,"","",87.9,Deg.,1.98,m/s,-5,Deg.C,85.3,% RH,"","","","","","","","","",0.9,3.6,"",21.1,"",1.3,0.4,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=179
182,E230557,Telkwa,"",Telkwa,OPERATIONAL,"",ENV,"","",54.691479,-127.05434,,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=182,,"","","","","","","","","","","","","","","","","","","",237,Deg.,0.44,m/s,3.7,Deg.C,92.4,% RH,"","","","","","","","","","","","","","","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=182
471,E300350,Terrace Skeena Middle School,"",Terrace,OPERATIONAL,"",ENV,"","",54.52167,-128.6075,81,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=471,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=473,PM25 SHARP5030,1.6,ug/m3,0,ppb,0,ppb,"","",14.2,ppb,"","",1.2,ppb,"","","","",322.8,Deg.,1.4,m/s,6.5,Deg.C,87.4,% RH,"","","","","","","","",3.2,0,0.1,"",14.2,"",1.2,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=471
264,0260012,Trail Columbia Gardens Airport,"",Trail,OPERATIONAL,"",INDUSTRY,"","",49.046405,-117.60711,428,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=264,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=192,"","","","","","","","","","","","","",0.2,ppb,"","","","",178.1,Deg.,3.31,m/s,3.8,Deg.C,94,% RH,"","","","","","","","","","","","","","",0.1,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=264
273,E283549,Tsawwassen,"",Delta,METRO VANCOUVER,"",MVRD,"","",49.0099,-123.082,52,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=273,,PM25 SHARP5030,2.7,ug/m3,0.3,ppb,2,ppb,"","",28,ppb,"","",0.1,ppb,"","","","","","","","","","","","","","","","","","",0.15,ppm,3.1,0.4,4.8,"",24.2,"",0.1,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=273
440,E234293,Valemount,"",Valemount,OPERATIONAL,"",ENV,"","",52.832459,-119.269821,800,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=440,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=209,PM25 SHARP5030,0.5,ug/m3,"","","","","","","","","","","","","","","","",131.1,Deg.,2.78,m/s,4.7,Deg.C,78.7,% RH,"","","","","","","","",0.7,"","","","","","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=440
565,E316370,Vancouver Clark Drive,"",Vancouver,METRO VANCOUVER,"",MVRD,"","",49.2603,-123.0778,29,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=565,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=577,PM25 SHARP5030,5,ug/m3,8.4,ppb,16,ppb,"","",12,ppb,"","","","","","","","",113.3,Deg.,0.8,m/s,9,Deg.C,99.6,% RH,"","","","","","",0.33,ppm,4.3,5.9,15.4,"",14.7,"","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=565
259,E232246,Vancouver International Airport #2,"",Richmond,METRO VANCOUVER,"",MVRD,"","",49.1863,-123.1524,1,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=259,,PM25 SHARP5030,3.6,ug/m3,0.7,ppb,4.5,ppb,"","",23.5,ppb,6.8,ug/m3,0.3,ppb,"","","","",106,Deg.,3.03,m/s,10,Deg.C,98.2,% RH,"","","","","","",0.18,ppm,5,3.9,15.9,"",18.6,8.6,0.3,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=259
