SERIAL_CODE,EMS_ID,STATION_NAME,LOCATION,CITY,CATEGORY,STATION_ENVIRONMENT,STATION_OWNER,DATE_ESTABLISHED,NOTES,LATITUDE,LONGITUDE,HEIGHT(m),STATUS,URL,URL2,PM25_INSTRUMENT,PM25,PM25_UNIT,NO,NO_UNIT,NO2,NO2_UNIT,NOX,NOX_UNIT,O3,O3_UNIT,PM10,PM10_UNIT,SO2,SO2_UNIT,TRS,TRS_UNIT,H2S,H2S_UNIT,WDIR_VEC,WDIR_UNIT,WSPD_SCLR,WSPD_UNIT,TEMP,TEMP_UNIT,HUMIDITY,HUMIDITY_UNIT,PRECIPITATION,PRECIPITATION_UNIT,BAR_PRESSURE,PRESSURE_UNIT,SNOWDEPTH,SNOWDEPTH_UNIT,CO,CO_UNIT,PM25_24,NO_24,NO2_24,NOX_24,O3_8,PM10_24,SO2_24,TRS_24,H2S_24,DATE,DATE_PST,URL_Station
26,0260021,Castlegar Hospital,"",Castlegar,OPERATIONAL,"",INDUSTRY,"","",49.3144,-117.6605,455,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=26,,"","","","","","","","","","","","","","","",1.1,ppb,"","","","","","","","","","","","","","","","","","","","","","","","","",0.9,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=26
600,600,Castlegar Mill Road,"",Castlegar,OPERATIONAL,"",INDUSTRY,"","",49.3345,-117.7138,431,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=600,,"","","","","","","","","","","","","","","","","","","",256.3,Deg.,1.2,m/s,4.4,Deg.C,"","","","","","","","","","","","","","","","","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=600
419,E286369,Castlegar Zinio Park,"",Castlegar,OPERATIONAL,"",ENV,"","",49.317698,-117.661527,407,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=419,,PM25_SHARP5030i,6.9,ug/m3,0.6,ppb,5.1,ppb,"","",7.9,ppb,9.2,ug/m3,0.4,ppb,"","","","","","","","","","","","","","","","","","","","",12.9,3,5,"",5.1,12.5,0.3,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=419
500,E220891,Chilliwack Airport,"",Chilliwack,METRO VANCOUVER,"",MVRD,"","",49.1558,-121.9403,12,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=500,,PM25_T640,2.5,ug/m3,2.8,ppb,9.6,ppb,"","",15.1,ppb,4.2,ug/m3,0.3,ppb,"","","","",245,Deg.,0.5,m/s,8.7,Deg.C,94.2,% RH,"","","","","","",0.22,ppm,2,2.1,5.8,"",11,4.1,0.3,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=500
260,E242892,Coquitlam Douglas College,"",Coquitlam,METRO VANCOUVER,"",MVRD,"","",49.2883,-122.7916,38,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=260,,"","","",0.4,ppb,4.9,ppb,"","",21.8,ppb,"","","","","","","","",65.4,Deg.,1.25,m/s,8,Deg.C,99.9,% RH,"","","","","","","",ppm,"",0.6,7.5,"",24,"","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=260
564,E316070,Crofton Elementary,"",Crofton,OPERATIONAL,"",INDUSTRY,"","",48.86,-123.64388889,38,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=564,,BAM1020,"",ug/m3,"","","","","","","","","","","",ppb,"",ppb,"","",272.7,Deg.,0.9,m/s,11.7,Deg.C,88,% RH,"","","",kPa,"","","","","","","","","","",1.1,0.5,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=564
39,E220217,Crofton Substation,"",Crofton,OPERATIONAL,"",INDUSTRY,"","",48.874529,-123.653929,22,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=39,,BAM1020,"",ug/m3,"","","","","","","","","","","","",0,ppb,"","",109.7,Deg.,1.2,m/s,11.3,Deg.C,95,% RH,"","","","","","","","","","","","","","","",0,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=39
40,E234670,Duncan Deykin Avenue,"",Duncan,OPERATIONAL,"",INDUSTRY,"","",48.80255,-123.646402,62,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=40,,PM25_SHARP5030i,0,ug/m3,"","","","","","","","","","","","",0.4,ppb,"","","","","","","","","","","","","","","","","","",5.4,"","","","","","",0.4,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=40
522,E222520,Elk Falls Dogwood,"",Campbell River,OPERATIONAL,"",INDUSTRY,"","",50.018425,-125.2484,63,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=522,,BAM1020,3.2,ug/m3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.8,"","","","","","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=522
585,E290310,Elkford Rocky Mountain Elementary School,"",Elkford,OPERATIONAL,"",INDUSTRY,"","",50.0077944,-114.93342,1333,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=585,,PM25 SHARP5030,1.4,ug/m3,"","","","","","","","",0.6,ug/m3,"","","","","","",183.2,Deg.,3.5,m/s,4.9,Deg.C,"","","","","","","","","","",1.7,"","","","",3.7,"","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=585
489,E304550,Fort St John 85th Avenue,"",Fort St John,BC HYDRO,"",INDUSTRY-BCH,"","",56.231792,-120.853895,685,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=489,,PM25_SHARP5030i,7.7,ug/m3,"","","","","","","","",11.2,ug/m3,"","","","","","","","",2,m/s,"","","","","","","","","","","","",5.9,"","","","",9.6,"","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=489
469,E299830,Fort St John Key Learning Centre,"",Fort St John,OPERATIONAL,"",ENV,"","",56.244722,-120.856111,679,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=469,,PM25 SHARP5030,7.2,ug/m3,1.6,ppb,2.9,ppb,"","",19,ppb,9,ug/m3,0.4,ppb,"","","","",121.4,Deg.,2.2,m/s,-5.9,Deg.C,94,% RH,"","","","","","","","",6,1.3,2.5,"",19.6,7.5,0.4,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=469
533,E309527,Fort St John North Camp C,"",Fort St John,BC HYDRO,"",INDUSTRY-BCH,"","",56.2032887,-120.90108,584,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=533,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=517,PM25 SHARP5030,9,ug/m3,0.4,ppb,2.1,ppb,"","","","",7.5,ug/m3,0,ppb,"","","","","","",2.6,m/s,-5.3,Deg.C,95.4,% RH,"","","","","","",0.102,ppm,8.4,0.2,1.5,"","",7.1,0,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=533
487,E304470,Fort St John Old Fort,"",Fort St John,BC HYDRO,"",INDUSTRY-BCH,"","",56.200587,-120.825713,421,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=487,,PM25 SHARP5030,5.9,ug/m3,"","","","","","","","",11.8,ug/m3,"","","","","","","","","","","","","","","","","","","","","","",5.5,"","","","",6,"","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=487
452,E295949,Fraser Lake Endako Mines,"",Fraser Lake,OPERATIONAL,"",INDUSTRY,"","",54.034444,-125.095833,1005,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=452,,"","","","","","","","","","","","","","","","","","","",56,Deg.,2.08,m/s,1.9,Deg.C,100,% RH,"","","",kPa,"","","","","","","","","","","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=452
433,E292149,Golden Helipad,"",Golden,OPERATIONAL,"",ENV,"","",51.2975,-116.966,780,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=433,,PM25_SHARP5030i,3.3,ug/m3,"","","","","","","","",11.8,ug/m3,"","","","","","","","","","","","","","","","","","","","","","",13,"","","","",15.4,"","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=433
19,E243003,Golden Lady Grey School,"",Golden,OPERATIONAL,"",ENV,"","",51.2956,-116.9717,773,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=19,,"","","","","","","","","","","","","","","","","","","",343.2,Deg.,2.05,m/s,2.3,Deg.C,92.6,% RH,"","","","","","","","","","","","","","","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=19
56,E262779,Grand Forks Airport,"",Grand Forks,OPERATIONAL,"",ENV,"","",49.0147,-118.4269,520,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=56,,"","","","","","","","","","","","","","","","","","","",110.4,Deg.,0.62,m/s,2.9,Deg.C,98,% RH,"","","",kPa,"","","","","","","","","","","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=56
57,E263701,Grand Forks City Hall,"",Grand Forks,OPERATIONAL,"",ENV,"","",49.031168,-118.439088,517,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=57,,PM25 SHARP5030,8.7,ug/m3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8.6,"","","","","","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=57
453,E225377,Harmac Cedar Woobank,"",Nanaimo,OPERATIONAL,"",INDUSTRY,"","",49.114165,-123.850165,25,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=453,,BAM1020,0,ug/m3,"","","","","","","","","","","","","",ppb,"","","","","","","","","","","","","","","","","","",1.9,"","","","","","",0.2,"",Sunday 1 February 2026 10AM (PST),2026-02-01 10:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=453
559,E299790,Harmac Nanaimo Dukepoint,"",Nanaimo,OPERATIONAL,"",INDUSTRY,"","",49.14522,-123.87873,10,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=559,,"","","","","","","","","","","","","","","","",ppb,"","","","","","","","","","","","","","","","","","","","","","","","","","","",Sunday 1 February 2026 10AM (PST),2026-02-01 10:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=559
60,M102038,Harmac Pacific,"",Nanaimo,OPERATIONAL,"",INDUSTRY,"","",49.133787,-123.850479,23,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=60,,"","","","","","","","","","","","","","","","","","","",240.4,Deg.,1.33,m/s,9.9,Deg.C,"","","","","","","","","","","","","","","","","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=60
257,E223756,Hope Airport,"",Hope,METRO VANCOUVER,"",MVRD,"","",49.3699,-121.4991,40,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=257,,PM25 SHARP5030,1.5,ug/m3,4.3,ppb,9.8,ppb,"","",9.8,ppb,2.5,ug/m3,"","","","","","",231.5,Deg.,1.84,m/s,6.6,Deg.C,96.9,% RH,"","","","","","","",ppm,1.6,8.1,8.3,"",3.2,2.8,"","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=257
269,E275843,Horseshoe Bay,"",West Vancouver,METRO VANCOUVER,"",MVRD,"","",49.3686,-123.2767,65,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=269,,PM25 SHARP5030,2.4,ug/m3,7.7,ppb,13.9,ppb,"","","","","","","","","","","","",17.9,Deg.,1.23,m/s,8.2,Deg.C,99.8,% RH,"","","","","","","",ppm,2.6,6.3,12.4,"","","","","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=269
437,M107004,Houston Firehall,"",Houston,OPERATIONAL,"",ENV,"","",54.3972,-126.645,594,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=437,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=3,PM25 SHARP5030,1.7,ug/m3,"","","","","","","","",0.9,ug/m3,"","","","","","",55.8,Deg.,2.81,m/s,3.1,Deg.C,92.4,% RH,"","","","","","","","",7.3,"","","","",7,"","","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=437
578,E321711,Hudsons Hope Dudley Drive,"",Hudsons Hope,BC HYDRO,"",INDUSTRY-BCH,"","",56.02686,-121.91118,494,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=578,,PM25 SHARP5030,5.1,ug/m3,0.1,ppb,2.7,ppb,"","","","",7.1,ug/m3,0.4,ppb,"","","","","","",0.5,m/s,-3,Deg.C,86.3,% RH,"","","","","","","","",4.3,0.3,4,"","",6.4,0.4,"","",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=578
267,0605008,Kamloops Federal Building,"",Kamloops,OPERATIONAL,"",ENV,"","",50.67477,-120.334016,381,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=267,,PM25 SHARP5030,5.4,ug/m3,2,ppb,6.5,ppb,"","",11.7,ppb,"","",1.4,ppb,0.4,ppb,"","",107.3,Deg.,"","",6.5,Deg.C,78.9,% RH,"","","","","","","","",5.3,4.9,7.2,"",11.3,"",1.3,0.5,"",Sunday 1 February 2026 04PM (PST),2026-02-01 16:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=267
