Datetime,Central Interior,Coastal,Georgia Strait,Lower Fraser Valley,Northeast,Southern Interior
2022-01-03 12:00:00,3.89168,3.0,2.5969565,1.835056,3.0935474999999997,3.569721
2022-01-03 13:00:00,3.31111,2.0463325,2.0492365,1.436417,3.456765,4.553804
2022-01-03 14:00:00,2.9509295,3.0,2.5,1.115389,3.3358540000000003,4.680058
2022-01-03 15:00:00,2.966381,3.5,4.5,1.895333,3.508697,5.217491
2022-01-03 16:00:00,3.694045,2.162382,3.5,1.8375,3.651285,7.425765
2022-01-03 17:00:00,3.2337290000000003,2.8039375,2.1776285,2.320196,3.9597105,10.52718
2022-01-03 18:00:00,3.365215,2.616845,3.5,2.527555,4.142602999999999,9.876258765876848
2022-01-03 19:00:00,3.239971,3.0,7.0,3.407972,4.361451499999999,10.2918
2022-01-03 20:00:00,3.5150230000000002,2.1430895000000003,7.0,3.076806,4.449884,11.32467
2022-01-03 21:00:00,3.5028045,4.5,7.0,4.264833,5.1459645,11.88717
2022-01-03 22:00:00,4.357291,3.728243,5.5,4.87075,5.608096,7.7227
2022-01-03 23:00:00,3.1276525,2.1954155,9.70196,4.426667,5.8586795,7.58217
2022-01-04 00:00:00,3.4887775000000003,4.0,5.0,4.067797,5.8115135,6.526696
2022-01-04 01:00:00,3.3492835000000003,3.1416075,3.927883,5.13321,6.2470335,4.78161
2022-01-04 02:00:00,4.2197499999999994,4.0020834999999995,4.443489,3.975417,6.663978999999999,7.56968
2022-01-04 03:00:00,5.1386245,3.5,1.6138315,3.084528,6.3150555,5.575722
2022-01-04 04:00:00,3.4592905000000003,3.5,1.6959945,2.989989,5.9738050000000005,4.008957
2022-01-04 05:00:00,3.5724020000000003,3.0006945,3.4828975,2.546833,5.6029444999999996,5.021152
2022-01-04 06:00:00,3.5811525,2.999305,2.7906265,2.558444,6.0234784999999995,5.893208
2022-01-04 07:00:00,4.23261,4.0006945,0.627533,2.086944,5.908805,6.327971
2022-01-04 08:00:00,3.6469785,4.5,2.609321221449578,1.943831,5.7684655,4.988069
2022-01-04 09:00:00,5.154765,4.5,3.0,2.331058,5.2501385,6.32853
2022-01-04 10:00:00,6.2021385,4.0,3.4544903784110024,2.580719,5.4408335,7.010943
2022-01-04 11:00:00,5.786395499999999,3.5,3.9392361877359345,2.486892,5.2618469999999995,8.172232
2022-01-04 12:00:00,5.989013,3.7999725,4.004947338630709,2.671583,5.452166500000001,7.234055
