iter	Logloss
0	0.5165652071
1	0.4035426399
2	0.3251563003
3	0.2683852712
4	0.2270054488
5	0.1960735867
6	0.1727820537
7	0.1555253246
8	0.1400827449
9	0.1284540865
10	0.1196724489
11	0.1124693985
12	0.1076972463
13	0.1031235248
14	0.1001169036
15	0.09731236968
16	0.09479704307
17	0.0935579525
18	0.09205501246
19	0.09135028363
20	0.09022430035
21	0.08805431528
22	0.08670849358
23	0.08627722741
24	0.0857408032
25	0.08474377679
26	0.08425624362
27	0.08332763532
28	0.08261590108
29	0.08172362722
30	0.08154109505
31	0.08123881372
32	0.08078477648
33	0.08070025013
34	0.08046653372
35	0.07972895916
36	0.07940947892
37	0.07894085057
38	0.07857144455
39	0.07797872537
40	0.07776134093
41	0.07766172708
42	0.07749828151
43	0.07719930712
44	0.07672753962
45	0.07650106633
46	0.07584392115
47	0.07550832567
48	0.07522139052
49	0.07474707115
50	0.07454287255
51	0.07420629128
52	0.07417225701
53	0.07395947993
54	0.07378600864
55	0.07368682127
56	0.07343721335
57	0.07298001599
58	0.07262251637
59	0.07238259856
60	0.07218843266
61	0.07193095938
62	0.0717017035
63	0.07153901999
64	0.07114870261
65	0.07088174896
66	0.07060490244
67	0.07051831362
68	0.07028418472
69	0.07006248658
70	0.06991746341
71	0.06947953442
72	0.06917204447
73	0.06898677166
74	0.06881376181
75	0.06857708104
76	0.06845323491
77	0.06837809804
78	0.06834247672
79	0.06800885282
80	0.06768526862
81	0.06751692904
82	0.06724134098
83	0.06708831263
84	0.06672602388
85	0.0666045828
86	0.06647042431
87	0.06625209603
88	0.06616838068
89	0.06596692971
90	0.06587595027
91	0.0657624934
92	0.06571184051
93	0.06558718337
94	0.06540867127
95	0.06519618783
96	0.06503187531
97	0.0648387791
98	0.06457896369
99	0.06448725015
